Unique ID,Parent ID,Depth,Username,Post Karma,Comment Karma,Achievements (Flair),Number of Awards,Comment,Upvotes,Timestamp (UTC)
26,,0,Deleted,N/A,N/A,None,0,[deleted],9,2022-12-05 02:13:36
27,26,1,ijmacd,3157,81562,None,0,"I wouldn't say ""enhanced""",2,2022-12-05 07:18:55
28,,0,julian88888888,205520,208289,:snoo_dealwithit: Moderator,0,account suspended lol,4,2022-12-05 18:39:33
29,,0,Deleted,N/A,N/A,None,0,I’ve found using chatGPT to debug snippets of code to be an excellent tool. It also is very good at explaining what code is doing. Just a few minutes I had it fix some buggy code that relied on string slices and it proposed a much better solution. Version 3+ of this is going to put a lot of people out of jobs,7,2022-12-05 03:22:53
30,29,1,Trakeen,288,22950,None,0,"I really need to look at chatGPT since i may be taking a new job and don’t know one part of the stack

How do use it to debug existing code? I thought it was like copilot in that you write a description of what you want and it gives you an answer, not that you would input existing code

Tried copilot for a bit but it wasn’t accurate enough for me IME",2,2022-12-05 13:06:04
31,30,2,explosive__tech,1,6,None,0,"Will probably work if you ask it a question, then paste the code in after in the same prompt.",1,2022-12-06 01:51:45
32,31,3,Trakeen,288,22950,None,0,I’ll try that. I used it some today and the code it spit out looked very good but wasn’t actually functional,1,2022-12-06 03:00:54
33,30,2,Deleted,N/A,N/A,None,0,"First of all, you have to go in not trusting it completely. Also, there is a text limit so it’s better to just give it function snippets so it has some context but isn’t a massive block of code otherwise it will maybe only print out have the answer. I’ll ask what the function does. Then I’ll ask it what problems it has. Or if get an error
Message I’ll give it the line of code and the error message. This thing is known to be confidently incorrect but if you call it on it’s mistakes it will usually fix them. It takes some getting used to, but treat it like a coworker/mentor when you get stuck. It can walk you through the code and explain it. If you are getting a weird result you can ask about it.",1,2022-12-06 10:03:42
34,,0,ze_do_pneu_,1676,2547,None,0,"When something becomes a trend, people tend to do  a lot of useless stuff.

You have the example of KickStarter that had a lot of useless IoT projects because IoT was trending back then. 

Now you have AI, people are adding the word ""AI"" to products just to sell more, even though the product itself probably doesn't need artificial intelligence, and they struggle to implement some AI to the product instead of building something that solves people's problems.

Now with chatGPT people tend to create articles about useless things that they've done such as using the algorythm to answer StackOverflow questions",7,2022-12-05 09:08:23
35,,0,Sigmadelta8,748,27651,None,0,"Hey quick tip I learned from the WAN show- apparently when it randomly just cuts off with large things (like a react component) you can type “continue” to have it continue the prompt. I don’t know if that’s actually the case, but that was what was said.",3,2022-12-05 15:34:30
36,,0,Deleted,N/A,N/A,None,0,"I have been building an iOS app as a pet project lately and I was asking it for help when I ran into problems and I haven't found it very useful. I think its cuz a lot of apples libraries are only documented via autogenerated class / method definition style docs and it doesn't seem to be able to interpret those well.

It doesn't have the ability to take a guess at how much it doesn't know like humans do either so sometimes it will just very confidently make a bunch of shit up.",2,2022-12-05 13:40:41
37,,0,waiting4op2deliver,3927,42983,None,0,Nice,0,2022-12-05 17:34:54
38,,0,iVictoryVictor,2868,1638,None,0,Incredibily underrated post,-9,2022-12-05 01:40:26
39,,0,podojavascript,63,44,None,0,This is crazy! Very cool.,-2,2022-12-05 01:35:08
40,,0,fireball_jones,1,31325,None,0,Answer a question about recursion on Stack Overflow using ChatGPT.,1,2022-12-05 16:16:07
41,,0,Ok-Discussion2980,3165,646,None,0,"What's funny about SO is that the moderators have such tiny reproductive organs (Compensated by massive egos) that even the best, professional answers, will be flagged as an AI answer. No one knows if it is AI or not. The moderators are just using ChatGPT as an excuse to be toxic. Business as usual. Mean time, we can ask ChatGPT questions and actually work through a problem without being judged for simply asking a question. RIP, StackOverflow.",1,2023-02-27 03:23:49
